"","CD3","CD4","CD8a","CD11b","CD14","CD15","CD16","CD19","CD20","CD25","CD27","CD28","CD34","CD45RA","CD45RO","CD56","CD62L","CD69","CD80","CD86","CD127","CD137","CD197","CD274","CD278","CD335","PD.1","HLA.DR","TIGIT","cluster.info"
"1202",15,64,8,1509,859,15,3,6,6,4,4,11,0,9,42,2,15,7,1,109,3,1,10,1,3,5,5,154,1,"CD14 Mono"
"1203",11,7,4,17,3,5,0,105,258,8,62,7,0,557,2,1,17,0,0,5,4,0,3,4,5,1,4,207,1,"B"
"1204",18,120,5,2730,922,18,6,7,16,9,4,25,0,16,87,8,19,39,5,142,3,9,10,3,13,8,7,396,2,"CD14 Mono"
"1205",549,610,3,6,7,7,0,1,8,6,248,57,0,148,4,5,16,1,1,1,12,0,7,1,21,0,6,11,2,"naive CD4 T"
"1206",503,731,6,12,8,5,3,1,7,1,329,61,0,408,4,2,20,4,2,1,27,3,10,6,28,5,9,15,2,"naive CD4 T"
"1207",10,3,4,103,8,7,5,11,16,6,61,13,1,769,1,614,22,5,2,1,13,2,1,4,7,226,4,67,4,"NK"
"1208",12,4,1,38,11,10,1,215,479,5,108,11,0,321,3,2,4,6,7,2,4,0,4,0,6,5,1,335,0,"B"
"1209",895,1070,9,8,4,13,0,3,3,1,671,109,0,189,16,6,59,10,3,3,51,1,7,4,109,10,6,12,2,"naive CD4 T"
"1210",8,247,10,2039,480,19,5,4,10,10,3,13,0,11,123,10,17,40,1,214,2,8,5,7,6,4,7,654,4,"CD14 Mono"
"1211",12,140,13,1172,834,16,5,5,18,6,7,11,0,285,10,4,8,13,4,135,1,2,14,2,9,4,8,2388,6,"CD14 Mono"
"1212",371,829,3,1,8,8,3,1,8,11,96,106,0,8,109,2,34,12,0,5,36,2,4,4,131,2,3,14,4,"mem CD4 T"
"1213",472,1486,2,10,8,14,2,4,6,15,587,205,0,7,182,2,47,5,1,3,73,3,9,3,56,7,6,16,7,"mem CD4 T"
"1214",327,1252,6,4,6,19,3,6,8,5,301,201,0,2,157,3,3,6,1,4,151,5,3,7,66,2,7,13,2,"mem CD4 T"
"1215",6,78,2,1298,356,9,3,1,4,1,2,8,0,4,50,3,5,13,1,80,1,1,2,4,4,0,3,86,2,"CD14 Mono"
"1216",436,745,4,4,5,7,0,0,2,8,3,170,0,11,38,4,2,10,0,1,57,1,6,5,31,2,9,8,0,"mem CD4 T"
"1217",187,682,3,9,6,3,2,5,7,6,41,70,0,3,128,0,5,6,0,0,17,1,1,2,14,1,9,9,0,"mem CD4 T"
"1218",255,410,1,2,7,5,1,2,0,1,286,72,0,425,2,2,4,1,0,4,7,1,7,0,61,1,1,10,0,"naive CD4 T"
"1219",4,1,6,3,6,8,0,249,390,4,1,19,0,471,0,2,10,6,0,4,1,3,7,4,2,1,3,550,3,"B"
"1220",476,926,5,4,9,8,5,1,10,6,68,207,0,3,185,8,16,17,1,0,203,1,14,3,50,2,12,6,1,"mem CD4 T"
"1221",3,87,7,2026,443,16,1,3,11,5,4,4,0,7,84,5,14,18,5,50,0,1,12,1,4,2,3,71,2,"CD14 Mono"
"1222",24,207,5,241,12,7,3,6,1,3,3,10,0,26,52,15,2,9,3,49,3,0,4,1,3,3,5,1782,3,"DC"
"1223",6,109,4,612,85,5,11,2,9,8,3,2,0,35,53,2,9,13,0,173,0,0,5,3,4,2,0,759,2,"CD14 Mono"
"1224",848,779,6,30,10,13,2,3,10,4,374,101,0,324,4,3,10,38,1,5,31,0,22,14,16,5,4,18,2,"naive CD4 T"
"1225",343,641,2,2,10,8,2,5,4,3,302,94,0,74,9,0,5,5,4,3,34,2,10,1,41,5,6,9,1,"naive CD4 T"
"1226",324,11,428,46,10,7,0,2,7,9,1,100,0,22,62,1,2,10,2,2,11,3,2,0,69,2,68,7,2,"CD8 T"
"1227",5,8,1,8,10,2,0,1,1,2,8,2,0,2,2,0,0,6,0,3,2,0,1,0,2,1,1,8,0,"DC"
"1228",544,660,2,7,9,16,0,0,7,24,327,65,0,31,24,2,6,3,0,0,15,0,7,3,21,4,1,9,0,"naive CD4 T"
"1229",7,87,2,1450,292,8,0,2,4,1,2,4,0,7,47,2,11,2,1,75,2,2,1,4,3,1,0,179,2,"CD14 Mono"
"1230",475,755,5,3,8,12,1,2,6,16,326,116,0,21,69,2,1,5,2,2,25,1,7,3,76,0,4,7,9,"mem CD4 T"
"1231",5,1,3,214,8,6,64,2,4,5,2,10,0,685,1,112,0,4,1,0,2,1,3,2,5,8,4,9,2,"NK"
"1232",417,0,233,6,8,15,1,2,6,4,336,42,0,487,6,1,21,9,1,3,17,1,10,4,33,1,3,13,1,"CD8 T"
"1233",6,81,4,580,139,7,3,1,10,3,1,5,1,33,20,2,21,3,2,92,2,1,7,0,3,1,3,676,2,"CD14 Mono"
"1234",17,9,9,154,15,11,328,2,6,6,19,23,0,2000,6,17,11,15,2,1,4,2,14,4,9,596,7,21,21,"NK"
"1235",9,208,11,2824,571,10,5,2,3,8,7,5,0,7,104,7,12,12,2,298,1,3,7,8,9,3,6,335,1,"CD14 Mono"
"1236",13,93,4,2002,450,6,3,3,6,7,1,11,0,67,54,10,56,12,8,126,4,6,9,4,5,2,5,108,2,"CD14 Mono"
"1237",8,9,1,131,14,9,11,5,8,5,181,14,0,1137,9,206,1,11,0,3,4,2,9,0,10,36,1,43,30,"NK"
"1238",394,646,2,7,7,7,0,1,6,0,404,78,0,253,2,0,145,5,1,0,6,1,9,1,36,2,3,11,2,"naive CD4 T"
"1239",799,817,10,14,4,20,3,3,11,6,445,118,0,182,9,3,376,8,3,2,33,4,17,3,36,4,4,9,5,"naive CD4 T"
"1240",8,82,13,1586,610,6,1,5,17,3,4,10,0,95,34,3,47,17,2,181,3,3,11,2,10,6,3,393,5,"CD14 Mono"
"1241",1095,1139,4,10,6,10,4,5,8,10,537,137,0,299,6,5,125,6,0,2,71,3,22,4,62,3,9,10,4,"naive CD4 T"
"1242",489,1030,9,16,10,4,5,4,1,7,5,154,0,3,200,2,4,15,2,2,129,3,9,0,78,4,13,12,3,"mem CD4 T"
"1243",512,4,513,11,2,5,2,5,9,1,173,73,0,17,106,2,6,7,0,0,18,5,7,1,50,0,21,14,4,"CD8 T"
"1244",500,828,3,8,7,10,0,1,3,6,438,73,0,76,11,5,9,7,1,0,19,3,7,2,37,2,4,13,5,"naive CD4 T"
"1245",21,121,12,2272,525,8,2,3,7,3,7,11,0,31,75,5,23,10,7,165,5,3,16,2,2,0,5,352,1,"CD14 Mono"
"1246",929,1029,4,7,9,5,0,3,3,4,458,84,0,523,3,3,33,14,4,2,52,4,11,4,52,3,9,14,1,"naive CD4 T"
"1247",6,6,49,149,20,10,543,1,10,2,5,5,1,945,0,111,5,16,0,6,7,2,5,3,12,48,3,8,5,"NK"
"1248",17,7,15,38,10,33,6,837,2150,29,81,36,4,1592,7,5,3,12,4,7,6,8,25,8,12,3,9,917,4,"B"
"1249",782,1061,2,11,26,12,4,4,11,9,409,96,0,459,3,5,11,12,3,8,28,5,26,5,29,5,7,19,0,"naive CD4 T"
"1250",226,698,1,4,6,8,3,1,4,5,2,99,0,2,101,1,20,1,2,1,42,1,5,3,69,3,11,13,5,"mem CD4 T"
"1251",9,114,9,1219,530,14,2,6,8,2,5,14,0,319,10,12,26,43,1,53,5,3,5,3,5,4,3,288,3,"CD14 Mono"
"1252",291,1061,4,6,8,12,3,5,5,35,320,120,0,4,91,4,0,18,2,0,36,1,8,2,51,3,28,10,2,"mem CD4 T"
"1253",6,121,2,1293,323,8,0,4,8,8,8,13,0,361,7,2,153,19,1,270,4,2,4,1,2,2,1,638,5,"CD14 Mono"
"1254",506,7,677,6,4,4,3,1,8,5,409,66,0,203,8,4,143,5,3,1,56,10,8,3,72,5,7,9,1,"CD8 T"
"1255",6,9,0,88,6,4,455,7,9,6,4,10,0,573,9,159,5,26,1,2,2,9,3,1,23,4,5,16,52,"NK"
"1256",373,1070,5,7,8,5,2,5,6,6,42,111,0,7,89,1,1,5,0,3,57,3,4,0,35,2,8,11,4,"mem CD4 T"
"1257",617,951,5,10,9,13,2,1,7,6,563,94,1,386,3,5,11,8,1,4,55,4,20,1,32,6,6,10,2,"naive CD4 T"
