"","CCA0","CCA1","CCA2","CCA3","CCA4","CCA5","CCA6","CCA7","CCA8","CCA9"
"4607",1.46273648806953,-0.334484889044047,0.0864419076003655,-0.152992900628735,0.19463555867897,-0.325195003253934,0.124085461954768,-0.0399266017085516,1.13793665961471,0.131224669168895
"4608",-1.15399665755374,-0.572775306637106,-0.295271374062641,-0.143740442592446,-0.94841144422593,0.088583615425422,0.0305113502719426,0.387384774365103,-0.157021476752587,-0.164906962956032
"4609",-0.467279847653819,-0.257017439449668,-0.429879888401162,-0.758620636528695,3.14513396523482,-1.27063882499052,-0.388344392100029,0.600350497317503,-0.29129721764204,-1.59713143206304
"4610",-1.00289101907122,-0.435726341437111,-0.390314670261887,-0.537693436294287,1.23715353980893,-0.44551251106369,-0.0462689729855906,-1.12288846921986,-0.317227252122673,-0.384422161913972
"4611",1.57412478056169,-0.614687516346001,0.540485193752308,-0.140158172365219,-0.54032571807718,-0.47454793484708,0.10318347227412,-0.0725993589751917,2.76226356791825,-0.633945448710132
"4612",-1.34208306331866,-0.720663768660375,-0.271716679441455,-0.228673475346339,-0.82606399573425,-0.05561946874098,0.0846938881137928,-1.47930543444295,-0.165863168516892,-0.973469133378083
"4613",-0.49004718547069,0.520769047562935,-0.468127144852381,-0.545000087727979,2.99403017132506,-2.18177226183024,-0.22033427779168,15.7264814296509,-1.8550583125114,-9.73890524174118
"4614",-1.5649733399614,-1.07179784867418,-0.948968118404462,-0.180493152552684,-1.36458487370163,0.253921471713474,0.0922295899575355,-0.156697886081265,-0.375445054485087,-0.0600291892638458
"4615",-0.590607725209423,-0.289093739515518,-0.256899661704081,-0.486040351064552,1.98704648033517,-0.782993327322409,-0.0869502512721343,-1.6011559518639,0.103500119709242,0.167551498682387
"4616",1.24856718762533,-0.351886207215968,0.385879815026193,-0.119989243444201,-0.238162022676918,-0.586763569702958,0.157719039046374,0.095189651244707,-0.0167456236583018,0.287238057503517
