"","X","CD45","CD3","CD19","CD123","CD11b","CD4","CD8a","CD11c","CD14","FceRI","gdTCR","CD45RA","TIM3","PD.L1","CD27","Tbet","CTLA4","FoxP3","CD33","CD45RO","CD127","CD197","Ki67","CD25","TCRva24Ja18","CD38","HLA.DR","PD.1","CD56","CD16","cluster.info"
"1","V172080",393.7490234375,12.8163223266602,2.75231337547302,10.0350484848022,68.0328216552734,106.340896606445,7.73773670196533,181.079956054688,193.141815185547,1.64025509357452,0,2.29982280731201,8.36845588684082,0,11.1297378540039,3.99178504943848,8.2773323059082,26.0444736480713,980.875305175781,46.6827278137207,0.452562749385834,8.1458911895752,62.4543228149414,0,0,51.5722694396973,584.407287597656,0,9.13091945648193,25.9075756072998,"CD14 Mono"
"2","V155226",357.528137207031,654.302185058594,0,9.19636154174805,0.914666473865509,221.527297973633,11.137978553772,1.46515738964081,0.0771379098296165,3.84134435653687,0.625599145889282,57.512580871582,0,1.38711321353912,464.489013671875,0,0,0.44472873210907,0,0,67.1972961425781,119.903610229492,0.74916023015976,0,0,4.2119312286377,0,2.44424843788147,0,0,"naive CD4 T"
"3","V155968",601.724487304688,472.388336181641,0,0.0685475543141365,1.35457968711853,359.89306640625,11.6966066360474,0,0,0.463641256093979,2.40378785133362,0.913111448287964,0.125075176358223,1.39814329147339,127.359329223633,42.7641143798828,7.3709888458252,2.41202902793884,1.31238067150116,76.0543365478516,228.405487060547,7.69650793075562,1.13946378231049,1.86547648906708,0,4.20688772201538,0.0470380038022995,19.2202301025391,0,0,"mem CD4 T"
"4","V102832",529.6962890625,476.736145019531,0.307396411895752,1.33366751670837,3.3746280670166,335.630462646484,5.08906507492065,0,0,0.487370431423187,2.06472754478455,3.88504695892334,5.3554162979126,13.0846490859985,418.680938720703,20.3587112426758,3.48660349845886,0.504798233509064,1.95869863033295,18.3024749755859,234.328765869141,6.30701541900635,0,20.985876083374,0,0,0,2.52392935752869,0,0,"mem CD4 T"
"5","V116610",328.915771484375,0,0.506279110908508,0,107.831405639648,80.2231826782227,6.63174915313721,160.289276123047,190.326721191406,0.871657192707062,0,1.11355566978455,0,0,0,0.44648152589798,2.01403665542603,7.55886459350586,478.390960693359,24.1809463500977,2.61378788948059,2.74694108963013,74.58056640625,0,0,74.2824249267578,476.347961425781,0,0.78434681892395,0,"CD14 Mono"
"6","V53480",387.962982177734,573.747924804688,0,0,0.430064827203751,258.629699707031,6.60671710968018,0,0,0.311029464006424,1.02703583240509,104.798454284668,0,1.26204645633698,622.246337890625,1.26179981231689,0,1.97583985328674,0,0.213339522480965,187.069625854492,132.942596435547,3.30608510971069,0,0,34.0301551818848,0,1.40635716915131,0.151812672615051,0,"naive CD4 T"
"7","V5674",728.208435058594,350.761444091797,0,0,3.6954140663147,353.439636230469,25.0361785888672,0,5.3212890625,0,0,3.56887078285217,2.71967887878418,0.246315062046051,146.477416992188,69.6008758544922,73.4009857177734,36.1510009765625,1.22501659393311,99.3318023681641,0,1.13181555271149,0,15.6360893249512,0,0,65.9723968505859,148.167541503906,0,1.687096118927,"mem CD4 T"
"8","V75951",475.597625732422,716.916442871094,3.16747283935547,1.49576783180237,6.2769250869751,347.300628662109,13.2084245681763,2.42382216453552,0,0.544589757919312,2.51794075965881,15.078405380249,0.138419404625893,4.18057632446289,731.411926269531,5.0780200958252,7.15005445480347,4.95153141021729,5.51630115509033,0,100.891571044922,204.511215209961,2.04083824157715,0,0.187143549323082,14.8416585922241,4.19991064071655,0,0.135983914136887,0,"naive CD4 T"
"9","V155978",521.091674804688,383.144439697266,0.0878417193889618,6.29488182067871,0,258.753601074219,8.6715669631958,0,0,0,0,0.144656643271446,0.253665000200272,3.26636385917664,289.563354492188,19.5953617095947,11.059232711792,3.57946157455444,0,49.4181442260742,213.577056884766,24.6638584136963,0.575266659259796,5.97086668014526,0.697050034999847,0,0,0.622184574604034,0,0,"mem CD4 T"
"10","V231014",167.825454711914,1.27334797382355,1.04961884021759,0.747344315052032,54.3067855834961,50.4306907653809,0,61.1767845153809,194.87873840332,2.75955367088318,0.874443829059601,1.83205342292786,0,0.876497149467468,0,0.0032353161368519,12.1187467575073,16.4532661437988,370.646087646484,17.908182144165,0.960734605789185,0.518463313579559,41.0332679748535,0.0180032849311829,0.63714724779129,97.0165328979492,178.41242980957,0.69100958108902,0,0,"CD14 Mono"
"11","V163184",360.463073730469,451.706726074219,0,5.81710481643677,0,229.34162902832,4.54272699356079,0,0,0.680434286594391,0,61.0592994689941,0,0,379.535705566406,5.14261817932129,5.69402408599854,31.0542259216309,0.501574695110321,1.08111464977264,33.3591575622559,148.782913208008,5.01277303695679,160.380508422852,0,9.51978588104248,4.17523241043091,0.80317610502243,0,3.87990045547485,"mem CD4 T"
"12","V171464",455.487335205078,100.159255981445,0.108105860650539,0,4.65770816802979,1.14899456501007,342.085388183594,0.18137027323246,0,0,0,80.6048736572266,0,1.67586302757263,365.806793212891,35.3997344970703,0.735634684562683,4.18520593643188,0,0.0212326534092426,58.0506782531738,51.8187675476074,2.41879081726074,0,0,0,0,8.08720207214355,0,0,"CD8 T"
"13","V65697",449.937072753906,354.043579101562,0.286210626363754,0.491831660270691,1.82313430309296,203.228820800781,4.15057277679443,0,0.392130732536316,0,0.145466342568398,20.8472118377686,0,0.888978123664856,393.626647949219,0.953938722610474,5.92433738708496,2.26183795928955,0,1.22572684288025,2.50596213340759,91.1833114624023,7.60513067245483,0,0,7.37638330459595,0,0,1.5075147151947,0,"naive CD4 T"
"14","V209705",497.974304199219,556.644287109375,0,5.54040336608887,0,218.001770019531,1.89331603050232,0,0,0.612753331661224,0,28.4390354156494,0.571525156497955,0,507.772857666016,0.495885223150253,1.6949782371521,6.09314775466919,1.35711491107941,0.638378739356995,93.8802642822266,166.70458984375,0,0,0.013343570753932,108.030242919922,0,3.55717372894287,0,0,"naive CD4 T"
"15","V195906",389.227142333984,517.363952636719,0.398434400558472,3.31212830543518,4.15257406234741,217.372131347656,10.0940341949463,0,0,0.104608751833439,3.28826594352722,59.982780456543,0.577995002269745,1.61442899703979,410.011291503906,3.94242095947266,0,0,0,0.359359443187714,77.4142303466797,171.047409057617,2.89801526069641,2.2233829498291,0.430811852216721,30.3787364959717,0,0,0.68890118598938,0,"naive CD4 T"
"16","V164401",305.625183105469,526.949768066406,0,0,4.40055274963379,229.161331176758,4.50363063812256,0,0.637109100818634,0.946532309055328,6.27126407623291,121.245056152344,0.917166411876678,0,378.950744628906,4.41444969177246,23.090145111084,9.44821071624756,0,0.546331226825714,63.7838287353516,189.394073486328,10.0446681976318,1.65232145786285,0.581861734390259,15.2621641159058,1.65830338001251,0.705032408237457,0,0.890541851520538,"naive CD4 T"
"17","V229303",398.664093017578,15.0019397735596,2.67761921882629,5.24664068222046,0.0541447289288044,164.982467651367,0,550.603210449219,20.0971012115479,193.636932373047,0.377701431512833,2.24650883674622,24.940149307251,0.014409901574254,0,3.74777173995972,6.29164981842041,25.956485748291,882.114624023438,4.74627304077148,0,0,47.8729019165039,0.388743311166763,0.0832182765007019,84.1944580078125,3021.61547851562,1.23244822025299,5.29811811447144,0,"DC"
"18","V28114",469.771636962891,461.619964599609,0,0,0.668423712253571,247.455596923828,4.89406299591064,0,0,1.857754945755,0,6.42332744598389,1.85992038249969,0.222826421260834,35.0455627441406,32.9853935241699,3.62526369094849,7.72668504714966,2.97172045707703,41.7177085876465,187.992004394531,1.31072664260864,0.293307662010193,5.77457332611084,0,0,0.228074312210083,0,0,0.742669105529785,"mem CD4 T"
"19","V178344",602.617248535156,543.733764648438,1.84924638271332,0,0,248.546524047852,4.49060153961182,0,3.10609626770019,0.124249875545502,0,5.72949171066284,1.16966450214386,6.09429264068604,223.598129272461,9.42854499816895,0.12094709277153,3.81240177154541,0,60.5429267883301,206.22688293457,93.9144439697266,4.59932661056519,3.87074899673462,1.701376080513,0.196137651801109,0,10.1971998214722,0,0,"mem CD4 T"
"20","V58319",393.125640869141,879.4365234375,2.65816164016724,1.62788200378418,2.05605721473694,287.000915527344,9.43335151672363,0,0.264304012060165,0.590175271034241,1.64431703090668,183.905883789062,0.557462930679321,4.54790067672729,635.064514160156,0.945884644985199,1.6884526014328,2.57349801063538,0.0327578745782375,0.891114473342895,68.6016998291016,187.929229736328,6.7759165763855,0,0,15.6872882843018,0,0.556429266929626,0.79862517118454,16.0871772766113,"naive CD4 T"
"21","V162469",244.107604980469,9.06695461273193,0,0.122409678995609,91.5613708496094,27.8606967926025,1.43471550941467,241.183395385742,145.515670776367,4.3257999420166,0,2.04727673530579,0.927633345127106,0,0.0759997516870499,4.69473791122437,7.31983423233032,20.63551902771,856.292175292969,29.6136302947998,0,2.17450594902039,46.3982315063477,0.723156630992889,3.11575269699097,48.0326347351074,367.794281005859,0,3.5532374382019,0.765996813774109,"CD14 Mono"
"22","V172608",323.84033203125,388.085418701172,0,0.933187961578369,1.3327556848526,205.450119018555,1.20588290691376,0,0.659548759460449,1.97083699703217,0,98.7638626098633,0,0.247438818216324,257.331115722656,0,4.30750179290771,0.885322332382202,1.19245338439941,0,85.0300064086914,101.530174255371,2.05766606330872,0,0,21.593563079834,0,0,0,1.40559589862824,"naive CD4 T"
"23","V216866",31.100643157959,0,0,17.7458724975586,0,9.21017932891846,2.98829340934753,0,0,0,0,3.43694376945496,0,0,1.34162414073944,0,0.503105700016022,7.82882261276245,65.3930969238281,0,0,8.77587890625,53.2460136413574,4.73979997634888,0,4.26147556304932,66.5681686401367,0,0,0,"DC"
"24","V65896",334.178131103516,582.935302734375,0,2.4242479801178,3.03408241271973,260.676391601562,1.57558810710907,0,0,0,0.109607093036175,198.120697021484,1.89666485786438,0,576.350219726562,3.1199357509613,2.70653486251831,1.98343813419342,0.318088322877884,0.0949675217270851,42.4349784851074,172.568572998047,7.91612815856934,0,0,30.3676681518555,0,0,0,0.183991521596909,"naive CD4 T"
"25","V15345",435.00341796875,620.836181640625,1.33700585365295,2.90241932868958,1.45443427562714,319.514739990234,8.15842247009277,1.47245967388153,0,0,0.821060717105865,108.717498779297,0,1.3684161901474,597.707153320313,2.53122878074646,2.23363733291626,6.5683159828186,0.875670373439789,0,94.286376953125,162.460601806641,2.20274829864502,0,0,36.6272773742676,2.51752972602844,1.21232771873474,0.201025620102882,0,"naive CD4 T"
"26","V95757",572.233154296875,3.16110873222351,855.33740234375,4.3793683052063,2.42349791526794,0,0,0,0.403684347867966,0,0,108.854789733887,0,0,3.71167397499084,2.12721657752991,1.57316982746124,3.4628438949585,0,0.347975701093674,0,64.6079940795898,3.13381767272949,0,0,42.7955207824707,1060.45458984375,0,0.67641019821167,0,"B"
"27","V116462",303.850219726562,20.6741981506348,0.108793534338474,6.0679030418396,29.1650352478027,61.5493049621582,5.51347684860229,147.347381591797,212.988327026367,2.41836261749268,0,5.71009492874146,1.86097192764282,0,0,0.23274552822113,8.45254611968994,11.3282794952393,611.258544921875,13.5359745025635,4.99164295196533,13.4063081741333,50.0377311706543,0,0.124483272433281,84.0155258178711,668.718383789062,2.27543234825134,1.78147518634796,4.44146680831909,"CD14 Mono"
"28","V228942",402.232177734375,615.954467773437,2.76744484901428,0,2.54920983314514,239.810791015625,14.5860691070557,1.01058316230774,0,0.726134300231934,0,82.8361587524414,2.17651414871216,0.237046018242836,333.884094238281,5.00188732147217,3.14051532745361,0,0,3.79412245750427,64.264274597168,148.589691162109,7.88027191162109,0.616381347179413,1.25259947776794,60.3858947753906,2.80750608444214,0,0,0,"naive CD4 T"
"29","V56418",391.165130615234,414.002258300781,0.068864032626152,0,0.775196492671967,1.51765882968903,460.833282470703,0.694988131523132,0.37577423453331,4.86984920501709,0,64.1912231445312,1.61625480651855,1.0144362449646,82.2103958129883,147.443481445312,0,3.82756996154785,0,0.36976620554924,0,1.20756816864014,0,0,0,19.6330509185791,3.25807619094849,0,0,0,"CD8 T"
"30","V70033",339.017486572266,587.496826171875,3.02579474449158,0.892168939113617,0.177548468112946,272.289367675781,7.50579500198364,0.798327803611755,0,1.11023664474487,3.67755460739136,96.9580535888672,0.925715565681458,1.71380960941315,428.897583007812,0.343366801738739,0.644740641117096,1.04741036891937,4.49693155288696,1.12316858768463,37.4695701599121,136.727676391602,3.04077649116516,0,0,4.05001449584961,3.56314921379089,0.88253515958786,0,0,"naive CD4 T"
"31","V137832",395.843292236328,537.293395996094,0.149892032146454,3.14118027687073,2.06499814987183,259.829193115234,9.64126491546631,1.32378041744232,0,0,3.29519939422607,18.7996158599854,0.882055699825287,2.54746770858765,208.132888793945,0,5.01734304428101,22.0252361297607,0,0.705956399440765,12.2285661697388,156.861358642578,0.94659560918808,102.696403503418,0,3.79429340362549,0,0,0,0,"mem CD4 T"
"32","V218001",511.583282470703,467.960174560547,0.372479975223541,0.553695261478424,9.57662963867188,284.841339111328,9.75763416290283,0,0,0,1.75654518604279,116.122848510742,0,2.00283288955688,638.372009277344,5.1350736618042,2.64686489105225,1.46837615966797,0,0,154.806427001953,200.447082519531,6.33990859985352,0.796838343143463,0,15.7141485214233,0.629801094532013,0,0.932275831699371,0,"naive CD4 T"
"33","V143794",275.476745605469,7.32134580612183,0.0006668060086667,0.0587244853377342,76.9464874267578,66.3520431518555,2.46884346008301,174.442672729492,367.55126953125,0.991651058197021,0,1.59587705135345,4.80830335617065,0,1.25403237342834,0.678135871887207,11.1702327728271,5.11330223083496,400.206604003906,21.7834205627441,0,0,4.00500106811523,0.101625889539719,0,104.609451293945,309.892211914062,0.933912217617035,0,0,"CD14 Mono"
"34","V86633",314.156829833984,1.74597501754761,5.48873424530029,2.85927224159241,88.8327560424805,129.041076660156,10.7287626266479,440.141571044922,361.944763183594,2.72314929962158,0.644116818904877,4.06438875198364,5.21527814865112,0,0,0.812432587146759,4.7007269859314,14.0263710021973,948.142028808594,35.9061965942383,0.443214744329453,0,6.43253612518311,0,1.39877450466156,104.222541809082,848.4267578125,2.85855078697205,0.152973547577858,5.28862142562866,"CD14 Mono"
"35","V177836",407.284454345703,5.78849458694458,4.03077983856201,5.32003402709961,1.93645310401917,102.001434326172,6.95284938812256,788.900756835938,44.0184669494629,144.106048583984,1.36319279670715,15.9045181274414,12.2699117660522,0,1.25472438335419,1.56701445579529,6.87766551971436,3.35519218444824,1024.74365234375,12.1269521713257,0,0.0576455444097519,34.6795501708984,0,0,62.2135963439941,1804.0712890625,0.584999263286591,0,0,"DC"
"36","V194838",333.862274169922,582.574401855469,0.423560053110123,5.16576719284058,1.203005194664,303.745574951172,4.52576637268066,11.4280214309692,0.131158083677292,1.25129878520966,0.378273874521255,60.6367797851562,2.53367471694946,2.04659366607666,348.068115234375,0,1.47666549682617,1.63606894016266,2.28212022781372,0.40987154841423,60.9803733825684,101.272644042969,2.4447820186615,0.32214081287384,0,41.1614761352539,0.182372644543648,1.54590165615082,0.368524074554443,32.0644149780273,"naive CD4 T"
"37","V92050",394.321868896484,341.494537353516,0.135271474719048,5.28299045562744,3.39512777328491,229.990539550781,4.38108348846436,0,0,2.89515924453735,0,2.40009212493896,0,8.22204971313477,0,2.1882951259613,7.99730539321899,1.18631982803345,0,25.237476348877,44.8004989624023,23.4326648712158,6.61463356018066,11.0528793334961,0,0,4.06463289260864,1.35356497764587,2.58372592926025,0.631032168865204,"mem CD4 T"
"38","V72335",490.763488769531,7.32086896896362,1.85188090801239,6.50662088394165,70.8754425048828,102.772064208984,3.44833731651306,215.962936401367,354.758636474609,0.0003578469913918,0,3.79834842681885,1.15292358398438,0,0,1.58163845539093,4.53299808502197,38.5616493225098,830.059143066406,23.3554458618164,0,0.257718771696091,22.0389728546143,0,0,80.9703674316406,290.929718017578,0.924924969673157,1.76274955272675,0,"CD14 Mono"
